,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies
2159,8000.0, 36 months,13.44,271.26,C,10+ years,MORTGAGE,100000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,9.7,0.0,Aug-1991,695.0,699.0,0.0,13.0,0.0,15608.0,67.6,34.0,Individual,5.0,0.0
4782,12600.0, 36 months,7.91,394.32,A,1 year,MORTGAGE,60000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,15.64,1.0,May-2001,675.0,679.0,0.0,19.0,0.0,16912.0,25.2,23.0,Individual,1.0,0.0
9262,15000.0, 36 months,5.32,451.73,A,10+ years,OWN,102000.0,Not Verified,Dec-2015,Fully Paid,credit_card,7.7,0.0,Oct-1981,725.0,729.0,0.0,15.0,0.0,26876.0,33.4,28.0,Individual,0.0,0.0
306,35000.0, 36 months,13.99,1196.05,C,10+ years,OWN,121000.0,Source Verified,Dec-2015,Fully Paid,credit_card,9.23,0.0,Jul-1984,680.0,684.0,4.0,27.0,1.0,21876.0,34.8,87.0,Individual,0.0,1.0
7244,14400.0, 60 months,23.13,407.02,F,10+ years,RENT,40000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,32.82,4.0,Jun-1995,680.0,684.0,1.0,14.0,0.0,11306.0,44.7,21.0,Individual,2.0,0.0
920,18250.0, 36 months,11.48,601.64,B,,MORTGAGE,39696.0,Not Verified,Dec-2015,Fully Paid,credit_card,24.55,0.0,Jan-1972,665.0,669.0,0.0,7.0,0.0,37981.0,54.9,10.0,Individual,2.0,0.0
9295,8500.0, 36 months,7.89,265.93,A,7 years,OWN,42500.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,24.12,0.0,Jan-1997,730.0,734.0,0.0,9.0,0.0,9815.0,35.6,19.0,Individual,0.0,0.0
6018,16000.0, 36 months,7.91,500.72,A,7 years,RENT,115000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,13.73,0.0,Jan-1994,720.0,724.0,2.0,17.0,0.0,13881.0,18.1,43.0,Individual,9.0,0.0
8369,10000.0, 36 months,16.99,356.48,D,2 years,RENT,50000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,24.89,0.0,Oct-2008,685.0,689.0,4.0,8.0,0.0,4861.0,22.3,20.0,Individual,1.0,0.0
365,14000.0, 36 months,12.88,470.91,C,2 years,RENT,80000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,5.04,0.0,Dec-2004,660.0,664.0,2.0,11.0,0.0,7002.0,37.8,18.0,Individual,0.0,0.0
2331,15000.0, 60 months,13.44,344.69,C,< 1 year,RENT,31000.0,Source Verified,Dec-2015,Fully Paid,credit_card,6.81,1.0,Nov-2003,680.0,684.0,0.0,11.0,0.0,5183.0,61.0,25.0,Individual,0.0,0.0
2928,24000.0, 36 months,8.49,757.51,B,4 years,MORTGAGE,525000.0,Source Verified,Dec-2015,Fully Paid,credit_card,5.14,0.0,Aug-1996,665.0,669.0,1.0,9.0,1.0,53082.0,87.0,37.0,Individual,7.0,0.0
3118,15000.0, 60 months,18.49,384.92,D,3 years,RENT,55000.0,Source Verified,Dec-2015,Charged Off,credit_card,23.61,1.0,Dec-2007,665.0,669.0,0.0,16.0,0.0,9585.0,46.3,25.0,Individual,0.0,0.0
3431,15000.0, 36 months,9.8,482.61,B,2 years,RENT,55000.0,Not Verified,Dec-2015,Fully Paid,credit_card,35.23,0.0,Nov-2003,760.0,764.0,0.0,18.0,0.0,15113.0,27.5,31.0,Individual,0.0,0.0
763,5000.0, 36 months,11.99,166.05,C,10+ years,MORTGAGE,68500.0,Source Verified,Dec-2015,Fully Paid,home_improvement,16.36,3.0,Nov-2000,675.0,679.0,0.0,20.0,0.0,22065.0,61.8,35.0,Individual,4.0,0.0
813,9100.0, 36 months,9.17,290.1,B,5 years,MORTGAGE,70000.0,Not Verified,Dec-2015,Fully Paid,credit_card,25.6,0.0,Apr-1996,725.0,729.0,0.0,8.0,0.0,37505.0,93.3,23.0,Individual,3.0,0.0
3938,16000.0, 60 months,7.91,323.74,A,1 year,OWN,65000.0,Not Verified,Dec-2015,Fully Paid,credit_card,9.12,0.0,Jan-2004,800.0,804.0,0.0,4.0,0.0,1531.0,22.2,11.0,Individual,0.0,0.0
6437,2600.0, 36 months,11.48,85.72,B,3 years,RENT,89512.0,Verified,Dec-2015,Fully Paid,debt_consolidation,13.06,1.0,Sep-2001,660.0,664.0,0.0,9.0,0.0,4200.0,71.2,21.0,Individual,0.0,0.0
6584,11200.0, 36 months,5.32,337.29,A,10+ years,MORTGAGE,80000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,17.65,0.0,Oct-2000,795.0,799.0,0.0,11.0,0.0,10808.0,21.2,24.0,Individual,4.0,0.0
4129,12000.0, 36 months,13.44,406.88,C,2 years,RENT,75000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,15.09,0.0,Dec-2002,670.0,674.0,1.0,13.0,0.0,17034.0,54.4,30.0,Individual,0.0,0.0
5410,5000.0, 36 months,8.49,157.82,B,10+ years,MORTGAGE,195000.0,Source Verified,Dec-2015,Fully Paid,major_purchase,14.17,0.0,Feb-1989,690.0,694.0,0.0,12.0,0.0,84853.0,98.8,23.0,Individual,3.0,0.0
185,16000.0, 36 months,9.8,514.78,B,,MORTGAGE,99906.0,Not Verified,Dec-2015,Fully Paid,credit_card,6.97,0.0,Jul-1993,660.0,664.0,1.0,10.0,1.0,12632.0,69.8,26.0,Individual,4.0,0.0
1634,12000.0, 36 months,9.17,382.55,B,10+ years,MORTGAGE,48000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,16.25,0.0,Jul-1985,670.0,674.0,1.0,11.0,1.0,8228.0,36.6,27.0,Individual,4.0,1.0
1165,9000.0, 36 months,8.49,284.07,B,9 years,MORTGAGE,90000.0,Source Verified,Dec-2015,Fully Paid,credit_card,8.2,0.0,Aug-1989,675.0,679.0,1.0,17.0,1.0,8076.0,41.8,23.0,Individual,2.0,1.0
1870,23800.0, 36 months,18.99,872.3,E,10+ years,RENT,75000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,17.92,0.0,Oct-2001,660.0,664.0,1.0,14.0,1.0,19847.0,67.5,19.0,Individual,0.0,1.0
6763,11000.0, 36 months,9.8,353.91,B,< 1 year,RENT,42000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,28.46,0.0,Nov-2008,685.0,689.0,0.0,21.0,0.0,6222.0,77.8,25.0,Individual,0.0,0.0
9983,15600.0, 60 months,14.48,366.88,C,10+ years,RENT,46500.0,Verified,Dec-2015,Charged Off,debt_consolidation,34.79,0.0,Dec-2003,680.0,684.0,2.0,18.0,1.0,9162.0,60.3,26.0,Individual,1.0,1.0
1532,7500.0, 36 months,8.49,236.73,B,10+ years,OWN,60000.0,Not Verified,Dec-2015,Fully Paid,small_business,4.5,0.0,Feb-1991,685.0,689.0,0.0,10.0,1.0,5522.0,20.5,35.0,Individual,4.0,1.0
5053,18000.0, 36 months,11.99,597.78,C,10+ years,MORTGAGE,74000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,22.94,0.0,Jan-2001,690.0,694.0,0.0,12.0,0.0,14151.0,81.8,45.0,Individual,5.0,0.0
2098,10250.0, 36 months,16.59,363.36,D,,MORTGAGE,57000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,29.03,1.0,Mar-1984,680.0,684.0,0.0,12.0,0.0,25394.0,69.0,20.0,Individual,3.0,0.0
7051,10000.0, 36 months,13.18,337.81,C,4 years,RENT,70000.0,Source Verified,Dec-2015,Fully Paid,credit_card,6.14,0.0,Sep-2005,660.0,664.0,0.0,8.0,1.0,9064.0,83.2,11.0,Individual,0.0,0.0
664,8750.0, 36 months,18.99,320.7,E,1 year,RENT,29524.32,Verified,Dec-2015,Charged Off,debt_consolidation,46.71,0.0,Aug-1998,680.0,684.0,0.0,9.0,1.0,2412.0,96.5,12.0,Joint App,0.0,0.0
2621,20550.0, 36 months,17.27,735.43,D,6 years,RENT,70000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,29.21,8.0,Feb-2000,660.0,664.0,0.0,12.0,1.0,8376.0,36.0,37.0,Individual,3.0,1.0
5847,18000.0, 60 months,14.85,426.81,C,10+ years,RENT,66000.0,Verified,Dec-2015,Charged Off,medical,30.02,0.0,Aug-1997,670.0,674.0,0.0,20.0,0.0,12635.0,51.6,26.0,Individual,0.0,0.0
7885,6000.0, 36 months,12.59,200.99,C,4 years,RENT,65000.0,Verified,Dec-2015,Fully Paid,credit_card,21.38,0.0,Jul-1991,660.0,664.0,1.0,25.0,1.0,9325.0,37.2,33.0,Individual,2.0,0.0
1550,17850.0, 60 months,21.48,487.74,E,< 1 year,MORTGAGE,42500.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,30.25,0.0,Jan-2006,670.0,674.0,0.0,11.0,0.0,10853.0,70.5,19.0,Individual,0.0,0.0
5222,10000.0, 36 months,9.8,321.74,B,10+ years,MORTGAGE,63000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,12.11,0.0,Dec-2000,665.0,669.0,2.0,15.0,1.0,11122.0,44.7,42.0,Individual,7.0,1.0
7910,9000.0, 36 months,5.32,271.04,A,1 year,MORTGAGE,33000.0,Not Verified,Dec-2015,Charged Off,credit_card,22.64,0.0,Oct-1995,725.0,729.0,0.0,13.0,0.0,21491.0,38.3,24.0,Individual,4.0,0.0
7211,7000.0, 36 months,9.8,225.22,B,2 years,RENT,60000.0,Source Verified,Dec-2015,Fully Paid,credit_card,18.0,2.0,Feb-2002,680.0,684.0,0.0,14.0,0.0,7001.0,87.5,23.0,Individual,0.0,0.0
9241,15000.0, 36 months,9.76,482.32,B,6 years,MORTGAGE,60000.0,Source Verified,Dec-2015,Fully Paid,credit_card,20.8,2.0,Dec-2000,670.0,674.0,0.0,8.0,0.0,22557.0,78.6,24.0,Individual,2.0,0.0
5786,12000.0, 60 months,17.97,304.53,D,2 years,MORTGAGE,71400.0,Verified,Dec-2015,Fully Paid,medical,37.48,0.0,Jan-2000,665.0,669.0,0.0,20.0,0.0,69713.0,89.3,47.0,Individual,3.0,0.0
2497,5000.0, 36 months,6.99,154.37,A,10+ years,MORTGAGE,80000.0,Not Verified,Dec-2015,Fully Paid,car,14.3,0.0,Jan-1995,835.0,839.0,0.0,6.0,0.0,7.0,0.0,12.0,Individual,2.0,0.0
5988,6100.0, 36 months,11.48,201.1,B,10+ years,MORTGAGE,75000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,15.04,1.0,Oct-1994,695.0,699.0,3.0,15.0,0.0,12006.0,41.0,29.0,Individual,3.0,0.0
3494,21000.0, 60 months,16.59,517.29,D,,MORTGAGE,65000.0,Verified,Dec-2015,Charged Off,other,34.71,0.0,Jan-1978,695.0,699.0,2.0,21.0,0.0,33960.0,78.0,33.0,Individual,2.0,0.0
9904,28000.0, 60 months,14.48,658.5,C,10+ years,OWN,75000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,33.95,1.0,Apr-1998,695.0,699.0,0.0,11.0,0.0,13898.0,31.3,23.0,Individual,0.0,0.0
7524,4000.0, 36 months,13.67,136.08,C,,RENT,37000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,8.41,2.0,Nov-1993,690.0,694.0,1.0,11.0,2.0,2484.0,11.0,45.0,Individual,4.0,0.0
4043,11000.0, 36 months,14.85,380.52,C,1 year,RENT,48000.0,Verified,Dec-2015,Fully Paid,credit_card,16.95,1.0,Oct-2000,660.0,664.0,0.0,7.0,0.0,16501.0,75.3,21.0,Individual,0.0,0.0
8022,35000.0, 36 months,17.57,1257.8,D,4 years,RENT,140000.0,Source Verified,Dec-2015,Fully Paid,small_business,13.34,0.0,Feb-1983,665.0,669.0,0.0,6.0,1.0,17239.0,53.2,25.0,Individual,2.0,1.0
8282,25000.0, 36 months,7.89,782.15,A,1 year,RENT,147500.0,Source Verified,Dec-2015,Charged Off,credit_card,9.19,0.0,Jun-2004,690.0,694.0,0.0,7.0,0.0,13437.0,59.7,17.0,Individual,2.0,0.0
5286,6600.0, 36 months,13.44,223.79,C,2 years,RENT,75000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,11.39,0.0,May-1999,700.0,704.0,0.0,21.0,1.0,23723.0,50.8,41.0,Individual,1.0,1.0
2091,2000.0, 36 months,13.99,68.35,C,9 years,RENT,46000.0,Verified,Dec-2015,Fully Paid,moving,33.0,3.0,Mar-2001,705.0,709.0,0.0,18.0,0.0,4043.0,22.7,27.0,Individual,0.0,0.0
2966,10000.0, 36 months,6.49,306.45,A,10+ years,MORTGAGE,80000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,22.17,0.0,Jun-2002,695.0,699.0,2.0,16.0,0.0,15045.0,44.1,38.0,Individual,4.0,0.0
1926,21000.0, 60 months,10.78,454.3,B,10+ years,MORTGAGE,89000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,21.88,0.0,Dec-2003,715.0,719.0,1.0,15.0,0.0,59490.0,55.2,37.0,Individual,9.0,0.0
7,20000.0, 36 months,8.49,631.26,B,10+ years,MORTGAGE,85000.0,Not Verified,Dec-2015,Fully Paid,major_purchase,17.61,1.0,Feb-1999,705.0,709.0,0.0,8.0,0.0,826.0,5.7,15.0,Individual,3.0,0.0
1112,9000.0, 36 months,11.99,298.89,C,2 years,RENT,41000.0,Not Verified,Dec-2015,Fully Paid,credit_card,34.95,0.0,Mar-2006,715.0,719.0,1.0,16.0,0.0,10849.0,65.8,32.0,Individual,2.0,0.0
8340,33000.0, 60 months,13.67,762.22,C,6 years,RENT,102932.0,Source Verified,Dec-2015,Charged Off,major_purchase,18.36,0.0,Aug-2003,700.0,704.0,1.0,6.0,0.0,31588.0,86.5,32.0,Individual,5.0,0.0
3457,3500.0, 36 months,8.49,110.48,B,1 year,RENT,54000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,11.33,1.0,Jul-1998,705.0,709.0,1.0,7.0,0.0,984.0,5.9,12.0,Individual,0.0,0.0
796,2800.0, 36 months,17.27,100.21,D,7 years,RENT,114400.0,Verified,Dec-2015,Fully Paid,debt_consolidation,6.34,0.0,Sep-2006,695.0,699.0,5.0,7.0,0.0,0.0,0.0,22.0,Individual,0.0,0.0
4037,2700.0, 36 months,11.99,89.67,C,2 years,RENT,52000.0,Source Verified,Dec-2015,Fully Paid,credit_card,9.58,0.0,Nov-2011,695.0,699.0,2.0,7.0,1.0,2668.0,18.8,7.0,Individual,0.0,0.0
1508,30000.0, 36 months,11.99,996.29,C,7 years,MORTGAGE,110000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,22.97,0.0,Oct-1999,695.0,699.0,0.0,16.0,0.0,25945.0,80.3,61.0,Individual,5.0,0.0
2892,2400.0, 36 months,9.17,76.51,B,< 1 year,RENT,250000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,7.46,0.0,Jan-1985,665.0,669.0,0.0,10.0,1.0,4357.0,85.4,13.0,Individual,0.0,1.0
4523,13000.0, 36 months,7.49,404.33,A,,MORTGAGE,65000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,25.54,0.0,Jun-1986,760.0,764.0,0.0,16.0,0.0,18027.0,27.4,34.0,Individual,7.0,0.0
3286,12675.0, 60 months,22.45,353.33,F,< 1 year,RENT,27600.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,26.7,0.0,Jul-2009,695.0,699.0,0.0,6.0,0.0,11715.0,52.3,10.0,Individual,0.0,0.0
1526,3500.0, 36 months,7.49,108.86,A,3 years,RENT,32000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,29.95,0.0,Aug-2006,730.0,734.0,0.0,9.0,0.0,3265.0,17.8,17.0,Individual,0.0,0.0
8461,8000.0, 36 months,7.26,247.97,A,3 years,RENT,78000.0,Verified,Dec-2015,Charged Off,debt_consolidation,18.4,0.0,Feb-1996,725.0,729.0,0.0,10.0,0.0,21707.0,40.2,17.0,Individual,0.0,0.0
3710,24150.0, 36 months,13.99,825.28,C,10+ years,MORTGAGE,134641.49,Source Verified,Dec-2015,Fully Paid,home_improvement,14.94,0.0,May-1990,680.0,684.0,2.0,7.0,0.0,3705.0,26.0,15.0,Individual,2.0,0.0
4247,17000.0, 36 months,7.91,532.02,A,8 years,RENT,70000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,15.55,0.0,Aug-2005,700.0,704.0,1.0,12.0,0.0,13694.0,40.0,21.0,Individual,0.0,0.0
5386,15000.0, 36 months,9.8,482.61,B,3 years,RENT,70000.0,Verified,Dec-2015,Fully Paid,home_improvement,25.06,0.0,Nov-2003,660.0,664.0,0.0,17.0,0.0,17604.0,78.9,21.0,Individual,1.0,0.0
5385,16000.0, 36 months,6.49,490.32,A,10+ years,RENT,60000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,25.02,0.0,Dec-1998,705.0,709.0,0.0,18.0,0.0,17474.0,30.8,40.0,Individual,4.0,0.0
1856,10000.0, 36 months,9.8,321.74,B,10+ years,RENT,50000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,22.73,0.0,Aug-1994,710.0,714.0,1.0,13.0,0.0,13394.0,65.7,24.0,Individual,0.0,0.0
771,12000.0, 36 months,12.88,403.64,C,4 years,MORTGAGE,110000.0,Source Verified,Dec-2015,Fully Paid,credit_card,9.44,0.0,Nov-1996,680.0,684.0,2.0,9.0,0.0,6112.0,21.9,15.0,Individual,0.0,0.0
9077,8000.0, 36 months,9.76,257.24,B,10+ years,RENT,72000.0,Verified,Dec-2015,Fully Paid,credit_card,20.22,0.0,Jul-1998,680.0,684.0,1.0,14.0,1.0,8016.0,30.1,35.0,Individual,0.0,1.0
8500,12000.0, 36 months,11.22,394.12,B,9 years,MORTGAGE,102000.0,Source Verified,Dec-2015,Fully Paid,medical,26.76,3.0,Mar-2001,670.0,674.0,1.0,12.0,0.0,14680.0,34.7,47.0,Joint App,3.0,0.0
7915,14000.0, 36 months,11.99,464.94,C,10+ years,RENT,110000.0,Source Verified,Dec-2015,Fully Paid,vacation,15.97,1.0,Aug-2002,710.0,714.0,1.0,9.0,0.0,860.0,14.8,23.0,Individual,4.0,0.0
2234,25000.0, 60 months,7.91,505.84,A,10+ years,OWN,90000.0,Not Verified,Dec-2015,Fully Paid,credit_card,11.29,0.0,Nov-1987,785.0,789.0,0.0,11.0,0.0,22593.0,33.1,24.0,Individual,3.0,0.0
6332,32000.0, 36 months,11.99,1062.71,C,10+ years,MORTGAGE,110000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,17.7,0.0,Sep-1988,715.0,719.0,0.0,9.0,0.0,22289.0,73.3,30.0,Individual,2.0,0.0
3496,22675.0, 60 months,21.48,619.58,E,< 1 year,MORTGAGE,72000.0,Verified,Dec-2015,Fully Paid,home_improvement,20.06,0.0,Sep-2002,680.0,684.0,1.0,30.0,2.0,11662.0,22.2,41.0,Individual,1.0,0.0
7724,14400.0, 60 months,18.2,367.24,E,10+ years,RENT,40000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,24.69,0.0,Oct-1992,665.0,669.0,2.0,5.0,0.0,10356.0,95.0,12.0,Individual,0.0,0.0
3040,8000.0, 36 months,9.17,255.04,B,6 years,RENT,60768.0,Not Verified,Dec-2015,Fully Paid,credit_card,12.56,0.0,Jun-2003,745.0,749.0,0.0,10.0,0.0,7610.0,20.7,15.0,Individual,0.0,0.0
5123,15000.0, 36 months,9.8,482.61,B,8 years,RENT,65000.0,Source Verified,Dec-2015,Fully Paid,credit_card,38.59,0.0,May-2001,705.0,709.0,0.0,27.0,0.0,26299.0,33.9,38.0,Individual,0.0,0.0
1552,5600.0, 36 months,11.99,185.98,C,2 years,RENT,80000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,16.41,2.0,Feb-2005,660.0,664.0,0.0,11.0,0.0,5781.0,80.3,24.0,Individual,1.0,0.0
1645,5000.0, 36 months,11.48,164.84,B,,RENT,11520.0,Verified,Dec-2015,Fully Paid,debt_consolidation,21.46,0.0,Nov-2011,745.0,749.0,0.0,6.0,0.0,2322.0,23.2,6.0,Individual,0.0,0.0
5416,4200.0, 36 months,8.49,132.57,B,1 year,MORTGAGE,58500.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,12.78,0.0,Sep-2009,730.0,734.0,0.0,12.0,0.0,5087.0,13.3,22.0,Individual,0.0,0.0
5453,5000.0, 36 months,11.99,166.05,C,1 year,RENT,69000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,22.64,0.0,Mar-2002,695.0,699.0,2.0,14.0,1.0,7953.0,28.2,39.0,Individual,0.0,1.0
1600,20000.0, 36 months,15.77,700.88,D,10+ years,MORTGAGE,60000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,13.24,0.0,Jul-2003,675.0,679.0,1.0,20.0,0.0,18289.0,49.7,28.0,Individual,4.0,0.0
9259,17000.0, 60 months,9.17,354.3,B,< 1 year,OWN,38000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,24.48,0.0,Oct-1998,685.0,689.0,0.0,9.0,1.0,4720.0,38.7,46.0,Individual,2.0,1.0
4727,2000.0, 36 months,10.78,65.27,B,5 years,RENT,90000.0,Source Verified,Dec-2015,Fully Paid,credit_card,15.81,2.0,Jun-2004,665.0,669.0,1.0,18.0,0.0,8367.0,36.4,64.0,Individual,0.0,0.0
1011,10000.0, 36 months,5.32,301.15,A,6 years,MORTGAGE,118000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,7.37,0.0,May-1990,710.0,714.0,1.0,8.0,0.0,33028.0,44.3,24.0,Individual,3.0,0.0
3498,6000.0, 36 months,11.48,197.8,B,9 years,RENT,28000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,19.72,0.0,Jan-2010,695.0,699.0,1.0,9.0,0.0,5508.0,51.0,9.0,Individual,0.0,0.0
8441,20000.0, 60 months,12.59,450.88,C,10+ years,MORTGAGE,105000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,14.12,0.0,Oct-1994,680.0,684.0,0.0,9.0,0.0,33205.0,88.3,24.0,Individual,1.0,0.0
2702,4425.0, 36 months,14.85,153.07,C,10+ years,MORTGAGE,48000.0,Verified,Dec-2015,Charged Off,debt_consolidation,24.74,0.0,May-2003,700.0,704.0,0.0,14.0,0.0,14651.0,52.7,31.0,Individual,2.0,0.0
263,10000.0, 36 months,6.99,308.73,A,5 years,MORTGAGE,115000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,23.26,0.0,Jun-2002,715.0,719.0,0.0,17.0,0.0,25824.0,72.9,39.0,Individual,5.0,0.0
3899,10000.0, 36 months,8.49,315.63,B,3 years,MORTGAGE,51000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,13.06,0.0,Oct-2003,680.0,684.0,1.0,14.0,0.0,15565.0,70.1,18.0,Individual,1.0,0.0
3955,18000.0, 36 months,12.88,605.46,C,10+ years,MORTGAGE,120000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,29.13,5.0,Jan-1977,665.0,669.0,0.0,9.0,0.0,316859.0,73.7,28.0,Individual,2.0,0.0
1916,5000.0, 36 months,5.32,150.58,A,,MORTGAGE,25896.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,9.34,0.0,Apr-1997,815.0,819.0,1.0,8.0,0.0,3159.0,8.8,31.0,Individual,2.0,0.0
1033,7500.0, 36 months,5.32,225.87,A,1 year,RENT,60000.0,Not Verified,Dec-2015,Fully Paid,credit_card,21.84,0.0,Aug-2003,760.0,764.0,0.0,11.0,0.0,3889.0,11.4,30.0,Individual,0.0,0.0
9129,30000.0, 36 months,6.24,915.93,A,10+ years,MORTGAGE,250000.0,Verified,Dec-2015,Fully Paid,credit_card,13.08,0.0,Jan-1996,725.0,729.0,0.0,8.0,0.0,39907.0,61.3,35.0,Individual,12.0,0.0
7466,7200.0, 36 months,13.67,244.93,C,5 years,RENT,58000.0,Source Verified,Dec-2015,Fully Paid,major_purchase,14.38,0.0,Oct-2007,685.0,689.0,1.0,3.0,0.0,421.0,3.8,9.0,Individual,0.0,0.0
9281,2400.0, 36 months,9.76,77.18,B,,OWN,8328.0,Verified,Dec-2015,Charged Off,debt_consolidation,34.58,0.0,Jun-2007,690.0,694.0,0.0,9.0,0.0,6284.0,42.0,12.0,Individual,0.0,0.0
2907,20000.0, 36 months,10.78,652.7,B,3 years,RENT,82988.0,Source Verified,Dec-2015,Fully Paid,credit_card,13.01,0.0,Aug-2009,705.0,709.0,0.0,12.0,0.0,16998.0,62.0,20.0,Individual,0.0,0.0
4569,24000.0, 60 months,18.49,615.86,D,7 years,RENT,105000.0,Verified,Dec-2015,Charged Off,debt_consolidation,26.14,0.0,Sep-2001,700.0,704.0,0.0,14.0,0.0,8579.0,46.9,30.0,Individual,0.0,0.0
1512,4850.0, 36 months,11.99,161.07,C,5 years,MORTGAGE,39000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,18.37,0.0,Jan-2003,670.0,674.0,2.0,6.0,0.0,12255.0,46.0,15.0,Individual,3.0,0.0
8070,2400.0, 36 months,16.99,85.56,D,9 years,MORTGAGE,62000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,38.7,1.0,Feb-2005,680.0,684.0,0.0,14.0,0.0,4764.0,19.5,45.0,Individual,2.0,0.0
2846,6775.0, 36 months,11.99,225.0,C,10+ years,MORTGAGE,170000.0,Source Verified,Dec-2015,Fully Paid,small_business,2.49,1.0,Nov-1998,680.0,684.0,1.0,8.0,0.0,3187.0,30.0,12.0,Individual,1.0,0.0
5710,35000.0, 60 months,13.99,814.21,C,10+ years,MORTGAGE,190000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,13.18,0.0,Oct-1998,675.0,679.0,0.0,9.0,0.0,38454.0,91.1,25.0,Individual,4.0,0.0
8821,10000.0, 36 months,9.76,321.55,B,,MORTGAGE,34000.0,Verified,Dec-2015,Fully Paid,other,12.14,0.0,May-2001,765.0,769.0,0.0,5.0,0.0,15.0,0.2,21.0,Individual,3.0,0.0
6760,5500.0, 36 months,12.88,185.0,C,< 1 year,RENT,31368.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,29.84,0.0,Nov-1993,665.0,669.0,1.0,4.0,0.0,1184.0,65.8,16.0,Individual,0.0,0.0
1473,35000.0, 36 months,13.44,1186.72,C,10+ years,OWN,177000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,21.43,3.0,Jan-1986,665.0,669.0,1.0,13.0,0.0,26078.0,76.5,24.0,Individual,1.0,0.0
8323,24000.0, 36 months,14.48,825.87,C,,RENT,61605.96,Verified,Dec-2015,Charged Off,debt_consolidation,34.91,0.0,Feb-1994,670.0,674.0,2.0,16.0,0.0,22895.0,82.7,58.0,Individual,0.0,0.0
808,35000.0, 36 months,15.77,1226.53,D,4 years,MORTGAGE,120000.0,Source Verified,Dec-2015,Fully Paid,credit_card,13.34,0.0,Aug-2003,690.0,694.0,1.0,12.0,0.0,31184.0,73.0,26.0,Individual,5.0,0.0
3798,4000.0, 36 months,11.99,132.84,C,2 years,MORTGAGE,77500.0,Verified,Dec-2015,Fully Paid,other,33.6,0.0,Oct-1997,725.0,729.0,0.0,15.0,0.0,33740.0,85.9,37.0,Individual,2.0,0.0
4147,10800.0, 36 months,12.88,363.28,C,10+ years,MORTGAGE,69000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,18.37,0.0,Feb-2003,660.0,664.0,1.0,10.0,0.0,26560.0,76.1,23.0,Individual,3.0,0.0
